latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight,instrument
48.96611,37.15541,295.09,0.4,0.44,2025-09-30,00:07:00,N20,nominal,2.0NRT,273.22,1.21,N,VIIRS
48.46629,38.75798,304.93,0.48,0.48,2025-09-30,00:07:00,N20,nominal,2.0NRT,280.48,1.98,N,VIIRS
48.49748,38.80571,318.37,0.48,0.48,2025-09-30,00:07:00,N20,nominal,2.0NRT,267.69,1.14,N,VIIRS
49.64466,39.41759,304.48,0.47,0.48,2025-09-30,00:07:00,N20,nominal,2.0NRT,273.14,2.2,N,VIIRS
48.49597,38.81165,296.34,0.48,0.48,2025-09-30,00:07:00,N20,nominal,2.0NRT,272.45,1.54,N,VIIRS
48.9673,37.15026,300.48,0.4,0.44,2025-09-30,00:07:00,N20,nominal,2.0NRT,271.75,0.7,N,VIIRS
48.72673,37.86464,295.56,0.43,0.46,2025-09-30,00:07:00,N20,nominal,2.0NRT,268.45,0.45,N,VIIRS
45.34567,28.69501,295.92,0.39,0.36,2025-09-30,00:09:00,N20,nominal,2.0NRT,273.43,1.07,N,VIIRS
48.82513,39.8156,341.08,0.41,0.37,2025-09-30,09:54:00,N20,nominal,2.0NRT,292,3.54,D,VIIRS
48.8294,39.81964,329.79,0.41,0.37,2025-09-30,09:54:00,N20,nominal,2.0NRT,293.01,2.97,D,VIIRS
48.82061,39.27586,343.97,0.42,0.37,2025-09-30,09:54:00,N20,nominal,2.0NRT,294.46,10.39,D,VIIRS
48.93933,37.96511,325.96,0.45,0.39,2025-09-30,09:54:00,N20,nominal,2.0NRT,285.8,2.6,D,VIIRS
49.21198,38.43481,325.98,0.43,0.38,2025-09-30,09:54:00,N20,nominal,2.0NRT,287.54,2.43,D,VIIRS
49.20142,38.28308,335.4,0.44,0.38,2025-09-30,09:54:00,N20,nominal,2.0NRT,292.09,3.48,D,VIIRS
49.20031,38.27728,332.52,0.44,0.38,2025-09-30,09:54:00,N20,nominal,2.0NRT,293.6,3.75,D,VIIRS
49.18166,38.02602,325.71,0.44,0.39,2025-09-30,09:54:00,N20,nominal,2.0NRT,281.18,3.88,D,VIIRS
51.68748,34.11822,335.79,0.53,0.42,2025-09-30,09:56:00,N20,nominal,2.0NRT,284.09,6.24,D,VIIRS
49.49655,37.71095,331.36,0.45,0.39,2025-09-30,09:56:00,N20,nominal,2.0NRT,283.22,3.52,D,VIIRS
49.49549,37.70875,337.96,0.45,0.39,2025-09-30,09:56:00,N20,nominal,2.0NRT,284.58,3.72,D,VIIRS
49.61111,37.70761,337.87,0.45,0.39,2025-09-30,09:56:00,N20,nominal,2.0NRT,285.44,3.5,D,VIIRS
49.6107,37.70673,346.57,0.44,0.39,2025-09-30,09:56:00,N20,nominal,2.0NRT,285.72,7.86,D,VIIRS
52.22946,33.66598,327.51,0.53,0.42,2025-09-30,09:56:00,N20,nominal,2.0NRT,282.55,4.58,D,VIIRS
51.89165,32.22436,355.41,0.4,0.45,2025-09-30,09:56:00,N20,nominal,2.0NRT,280,8.72,D,VIIRS
52.22015,33.67982,339.28,0.53,0.42,2025-09-30,09:56:00,N20,nominal,2.0NRT,282.09,5.46,D,VIIRS
52.19662,33.6853,330.11,0.53,0.42,2025-09-30,09:56:00,N20,nominal,2.0NRT,281.76,3.68,D,VIIRS
51.85699,33.76636,327.62,0.54,0.42,2025-09-30,09:56:00,N20,nominal,2.0NRT,280.37,4.16,D,VIIRS
50.25166,37.59567,352.73,0.44,0.38,2025-09-30,09:56:00,N20,nominal,2.0NRT,275.37,14.42,D,VIIRS
50.25278,37.58213,337.79,0.44,0.38,2025-09-30,09:56:00,N20,nominal,2.0NRT,271.43,5.4,D,VIIRS
50.25301,37.58102,333.23,0.44,0.38,2025-09-30,09:56:00,N20,nominal,2.0NRT,271.64,2.61,D,VIIRS
52.20505,32.69574,339.11,0.47,0.64,2025-09-30,11:36:00,N20,nominal,2.0NRT,284.21,7.48,D,VIIRS
51.88087,32.25021,335.87,0.45,0.63,2025-09-30,11:36:00,N20,nominal,2.0NRT,277.14,3.72,D,VIIRS
52.20808,32.6995,345.77,0.47,0.64,2025-09-30,11:36:00,N20,nominal,2.0NRT,284.08,5.41,D,VIIRS
51.09837,34.87126,302.76,0.38,0.36,2025-09-30,23:48:00,N20,nominal,2.0NRT,272.22,0.76,N,VIIRS
48.49519,38.81,297.68,0.47,0.4,2025-09-30,23:50:00,N20,nominal,2.0NRT,266.54,0.69,N,VIIRS
