latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight,instrument
46.66952,31.9884,303.7,1.25,1.11,2025-08-11,01:34:00,A,56,6.1NRT,288.97,9.92,N,MODIS
46.66658,32.00387,314.14,1.25,1.11,2025-08-11,01:34:00,A,89,6.1NRT,288.21,20.25,N,MODIS
47.29647,29.45182,317.98,1.13,1.06,2025-08-11,07:41:00,T,70,6.1NRT,300.57,10.89,D,MODIS
47.6406,31.97294,323.31,1.01,1,2025-08-11,07:41:00,T,72,6.1NRT,302.07,12.57,D,MODIS
47.62513,30.46882,318.37,1.07,1.03,2025-08-11,07:41:00,T,67,6.1NRT,303.48,7.97,D,MODIS
47.29816,29.43731,327.02,1.13,1.06,2025-08-11,07:41:00,T,81,6.1NRT,301.31,22.69,D,MODIS
45.13043,34.60202,326.04,3.92,1.84,2025-08-11,11:02:00,A,60,6.1NRT,290.62,76.28,D,MODIS
45.14845,34.69946,409.37,3.87,1.83,2025-08-11,11:02:00,A,94,6.1NRT,301,2129.33,D,MODIS
45.13638,34.65608,401.35,3.9,1.84,2025-08-11,11:02:00,A,87,6.1NRT,302.04,1774.84,D,MODIS
45.12348,34.60982,333.09,3.92,1.84,2025-08-11,11:02:00,A,69,6.1NRT,289.76,142.27,D,MODIS
45.1409,34.70042,400.27,3.87,1.83,2025-08-11,11:02:00,A,94,6.1NRT,297.87,1713.55,D,MODIS
45.15612,34.69252,367.31,3.87,1.83,2025-08-11,11:02:00,A,100,6.1NRT,299.38,664.98,D,MODIS
45.14374,34.64886,360.7,3.9,1.84,2025-08-11,11:02:00,A,100,6.1NRT,299.6,532.89,D,MODIS
47.42394,34.53523,323.75,3.3,1.72,2025-08-11,11:04:00,A,31,6.1NRT,297.34,62.78,D,MODIS
47.42264,34.58638,322.01,3.28,1.71,2025-08-11,11:04:00,A,64,6.1NRT,296.09,57.58,D,MODIS
47.42586,34.53822,323.18,3.3,1.72,2025-08-11,11:04:00,A,59,6.1NRT,296.65,66.35,D,MODIS
46.38958,32.53582,326.4,2.28,1.46,2025-08-11,12:40:00,A,68,6.1NRT,305.63,36.21,D,MODIS
