latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight,instrument
50.41559,35.44023,302.88,0.32,0.55,2026-07-28,00:50:00,N,nominal,2.0NRT,283.54,0.45,N,VIIRS
50.42026,35.44359,301.96,0.32,0.55,2026-07-28,00:50:00,N,nominal,2.0NRT,283.7,0.47,N,VIIRS
50.9451,34.86299,296.75,0.59,0.53,2026-07-28,00:50:00,N,nominal,2.0NRT,283.18,1.26,N,VIIRS
51.00568,34.80199,341.05,0.59,0.53,2026-07-28,00:50:00,N,nominal,2.0NRT,285.32,9,N,VIIRS
51.2182,34.17035,305.67,0.55,0.51,2026-07-28,00:50:00,N,nominal,2.0NRT,284.15,1.17,N,VIIRS
51.21775,34.1767,307.66,0.55,0.51,2026-07-28,00:50:00,N,nominal,2.0NRT,283.91,1.8,N,VIIRS
51.06739,34.91791,311.31,0.59,0.53,2026-07-28,00:50:00,N,nominal,2.0NRT,286.18,1.61,N,VIIRS
47.58962,33.87862,304.44,0.34,0.56,2026-07-28,00:52:00,N,nominal,2.0NRT,285.52,0.56,N,VIIRS
45.52114,28.81497,312.93,0.47,0.48,2026-07-28,00:52:00,N,nominal,2.0NRT,288.2,1.61,N,VIIRS
45.12928,34.00146,295.82,0.41,0.61,2026-07-28,00:52:00,N,nominal,2.0NRT,284.53,0.56,N,VIIRS
46.32428,32.01935,300.3,0.62,0.54,2026-07-28,00:52:00,N,nominal,2.0NRT,287.4,1.26,N,VIIRS
48.97676,24.71138,316.86,0.43,0.38,2026-07-28,00:52:00,N,nominal,2.0NRT,287.61,1.59,N,VIIRS
48.74995,26.60369,297.27,0.49,0.4,2026-07-28,00:52:00,N,nominal,2.0NRT,285.75,0.78,N,VIIRS
48.74712,26.6032,299.06,0.49,0.4,2026-07-28,00:52:00,N,nominal,2.0NRT,285.58,1.17,N,VIIRS
47.44845,33.44838,318.2,0.33,0.55,2026-07-28,00:52:00,N,nominal,2.0NRT,285.84,1.78,N,VIIRS
47.44963,33.44423,296.97,0.33,0.55,2026-07-28,00:52:00,N,nominal,2.0NRT,285.39,0.84,N,VIIRS
47.45441,33.44719,297.2,0.33,0.55,2026-07-28,00:52:00,N,nominal,2.0NRT,285.85,0.84,N,VIIRS
47.42147,33.76138,296.99,0.34,0.56,2026-07-28,00:52:00,N,nominal,2.0NRT,285.8,0.36,N,VIIRS
47.42152,33.76264,297.82,0.34,0.56,2026-07-28,00:52:00,N,nominal,2.0NRT,285.41,0.48,N,VIIRS
47.255,34.77459,308.84,0.38,0.59,2026-07-28,00:52:00,N,nominal,2.0NRT,282.88,1.26,N,VIIRS
47.30753,34.78038,312.09,0.38,0.59,2026-07-28,00:52:00,N,nominal,2.0NRT,284.63,1.16,N,VIIRS
47.31114,34.78843,307.63,0.38,0.59,2026-07-28,00:52:00,N,nominal,2.0NRT,284.65,0.84,N,VIIRS
47.31257,34.78364,297.05,0.38,0.59,2026-07-28,00:52:00,N,nominal,2.0NRT,284.61,0.84,N,VIIRS
47.31685,34.76931,301.77,0.38,0.59,2026-07-28,00:52:00,N,nominal,2.0NRT,283.37,0.85,N,VIIRS
47.60228,33.79485,300.53,0.34,0.56,2026-07-28,00:52:00,N,nominal,2.0NRT,285.44,0.53,N,VIIRS
47.31476,34.79647,306.76,0.38,0.59,2026-07-28,00:52:00,N,nominal,2.0NRT,283.94,1.27,N,VIIRS
47.31619,34.79169,301.6,0.38,0.59,2026-07-28,00:52:00,N,nominal,2.0NRT,284.73,0.84,N,VIIRS
47.32331,34.76783,295.42,0.38,0.59,2026-07-28,00:52:00,N,nominal,2.0NRT,280.35,0.85,N,VIIRS
47.3198,34.79976,297.32,0.38,0.59,2026-07-28,00:52:00,N,nominal,2.0NRT,284.63,1.09,N,VIIRS
49.88066,32.25143,308.91,0.5,0.49,2026-07-28,00:52:00,N,nominal,2.0NRT,287.54,1.8,N,VIIRS
49.87642,32.24875,314.51,0.5,0.49,2026-07-28,00:52:00,N,nominal,2.0NRT,287.22,1.8,N,VIIRS
49.87469,32.2554,307.36,0.5,0.49,2026-07-28,00:52:00,N,nominal,2.0NRT,286.32,1.8,N,VIIRS
48.52172,34.63133,300,0.35,0.56,2026-07-28,00:52:00,N,nominal,2.0NRT,286.93,0.78,N,VIIRS
47.87344,33.4372,298.28,0.32,0.55,2026-07-28,00:52:00,N,nominal,2.0NRT,286.2,0.71,N,VIIRS
47.50424,34.65778,325.98,0.37,0.58,2026-07-28,00:52:00,N,nominal,2.0NRT,285.53,3.4,N,VIIRS
47.85938,33.44746,312.37,0.32,0.55,2026-07-28,00:52:00,N,nominal,2.0NRT,286.78,1.11,N,VIIRS
47.50283,34.66247,298.85,0.37,0.58,2026-07-28,00:52:00,N,nominal,2.0NRT,283.75,1.83,N,VIIRS
47.50183,34.65553,302.83,0.37,0.58,2026-07-28,00:52:00,N,nominal,2.0NRT,286.07,1.38,N,VIIRS
47.50044,34.66022,310.93,0.37,0.58,2026-07-28,00:52:00,N,nominal,2.0NRT,285.66,1.38,N,VIIRS
47.61588,34.14586,302.04,0.35,0.57,2026-07-28,00:52:00,N,nominal,2.0NRT,285.94,0.52,N,VIIRS
47.59447,33.88164,298.45,0.34,0.56,2026-07-28,00:52:00,N,nominal,2.0NRT,285.41,0.56,N,VIIRS
48.63142,37.13148,325.17,0.75,0.77,2026-07-28,08:58:00,N,nominal,2.0NRT,289.35,6.53,D,VIIRS
48.62762,37.12178,338.06,0.75,0.77,2026-07-28,08:58:00,N,nominal,2.0NRT,289.39,6.53,D,VIIRS
49.16947,38.08993,367,0.66,0.73,2026-07-28,08:58:00,N,high,2.0NRT,290.98,17.46,D,VIIRS
49.16415,38.09406,327.57,0.66,0.73,2026-07-28,08:58:00,N,nominal,2.0NRT,291.33,7.75,D,VIIRS
49.17036,38.08939,357.71,0.66,0.73,2026-07-28,08:58:00,N,low,2.0NRT,289.52,7.75,D,VIIRS
46.49244,31.84629,331.66,0.42,0.38,2026-07-28,10:38:00,N,low,2.0NRT,305.05,2.63,D,VIIRS
46.4555,32.2284,336.33,0.41,0.37,2026-07-28,10:38:00,N,nominal,2.0NRT,305.03,1.68,D,VIIRS
46.45646,32.2337,342.07,0.41,0.37,2026-07-28,10:38:00,N,nominal,2.0NRT,307.16,5.6,D,VIIRS
46.45309,32.23497,340.61,0.41,0.37,2026-07-28,10:38:00,N,nominal,2.0NRT,309.81,5.04,D,VIIRS
46.44972,32.23624,342.4,0.41,0.37,2026-07-28,10:38:00,N,nominal,2.0NRT,310.66,5.04,D,VIIRS
