date,cloud_cover_in_country,cloud_cover_in_east_of_country,fires_per_day,war_fires_per_day,fires_per_day_in_ukraine_held_area,war_fires_per_day_in_ukraine_held_area,fires_per_day_in_russia_held_area,war_fires_per_day_in_russia_held_area,extreme_heat,fires_per_day_non_cloud_days_7dma,fires_per_day_7dma,war_fires_per_day_non_cloud_days_7dma,war_fires_per_day_7dma,fires_per_day_in_ukraine_held_area_non_cloud_days_7dma,fires_per_day_in_ukraine_held_area_7dma,war_fires_per_day_in_ukraine_held_area_non_cloud_days_7dma,war_fires_per_day_in_ukraine_held_area_7dma,fires_per_day_in_russia_held_area_non_cloud_days_7dma,fires_per_day_in_russia_held_area_7dma,war_fires_per_day_in_russia_held_area_non_cloud_days_7dma,war_fires_per_day_in_russia_held_area_7dma,extreme_heat_non_cloud_days_7dma,extreme_heat_7dma
2023-11-20,0.919,0.925,NA,NA,NA,NA,NA,NA,FALSE,NA,4.666666666666667,NA,0,NA,3.3333333333333335,NA,0,NA,1.3333333333333333,NA,0,NA,0
2023-11-19,0.908,0.942,2,0,2,0,0,0,FALSE,NA,6,NA,1,NA,4.5,NA,0.75,NA,1.5,NA,0.25,NA,0
2023-11-18,0.943,0.929,4,0,2,0,2,0,FALSE,NA,11.4,NA,5.6,NA,7.6,NA,3.4,NA,3.8,NA,2.2,NA,0
2023-11-17,0.885,0.846,8,0,6,0,2,0,FALSE,NA,18,NA,7.166666666666667,NA,12.5,NA,5.166666666666667,NA,5.5,NA,2,NA,0
2023-11-16,0.827,0.872,10,4,8,3,2,1,FALSE,NA,21.285714285714285,NA,7.142857142857143,NA,14.428571428571429,NA,4.857142857142857,NA,6.857142857142857,NA,2.2857142857142856,NA,0
2023-11-15,0.935,0.93,33,24,20,14,13,10,FALSE,NA,23.571428571428573,NA,8.428571428571429,NA,14.428571428571429,NA,4.857142857142857,NA,9.142857142857142,NA,3.5714285714285716,NA,0
2023-11-14,0.803,0.764,51,15,37,14,14,1,FALSE,NA,27.285714285714285,NA,11.142857142857142,NA,17.142857142857142,NA,6.571428571428571,NA,10.142857142857142,NA,4.571428571428571,NA,0
2023-11-13,0.705,0.744,41,7,26,3,15,4,FALSE,NA,36.285714285714285,NA,14,NA,22.142857142857142,NA,8,NA,14.142857142857142,NA,6,NA,0
2023-11-12,0.892,0.866,18,9,2,0,16,9,FALSE,NA,39.857142857142854,NA,14.857142857142858,NA,24.571428571428573,NA,8.428571428571429,NA,15.285714285714286,NA,6.428571428571429,NA,0
2023-11-11,0.971,0.97,30,19,21,12,9,7,FALSE,NA,42.142857142857146,NA,15,NA,25.285714285714285,NA,8.571428571428571,NA,16.857142857142858,NA,6.428571428571429,NA,0
