latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
67.17955,56.62415,326.73,0.53,0.5,2026-01-16,00:30,N21,nominal,2.0NRT,259.76,4.49,N
65.04369,56.66848,336.57,0.34,0.56,2026-01-16,00:30,N21,nominal,2.0NRT,258,3.77,N
57.18483,43.94284,349.68,0.34,0.56,2026-01-16,00:32,N21,nominal,2.0NRT,250.53,4.92,N
63.31657,9.13998,303.59,0.42,0.61,2026-01-16,00:32,N21,nominal,2.0NRT,277.5,1.56,N
63.31447,9.14384,302.89,0.42,0.61,2026-01-16,00:32,N21,nominal,2.0NRT,272.68,0.94,N
48.33034,9.73442,295.1,0.33,0.55,2026-01-16,00:34,N21,nominal,2.0NRT,268.42,0.81,N
54.57089,39.74374,323.7,0.61,0.53,2026-01-16,00:34,N21,nominal,2.0NRT,262.46,10.39,N
54.57154,39.74967,334.31,0.61,0.53,2026-01-16,00:34,N21,nominal,2.0NRT,261.56,8.93,N
55.40151,18.72277,297.84,0.51,0.41,2026-01-16,00:34,N21,nominal,2.0NRT,276.42,1.11,N
53.13744,8.67435,297.86,0.4,0.6,2026-01-16,00:34,N21,nominal,2.0NRT,266.3,0.9,N
38.79265,15.21349,308.91,0.45,0.39,2026-01-16,00:37,N21,nominal,2.0NRT,276.54,1.44,N
38.79336,15.20776,325.55,0.45,0.39,2026-01-16,00:37,N21,nominal,2.0NRT,280.84,2.4,N
37.91773,23.07163,300.1,0.49,0.4,2026-01-16,00:37,N21,nominal,2.0NRT,285,1.36,N
38.12914,23.523,298.15,0.5,0.41,2026-01-16,00:37,N21,nominal,2.0NRT,279.4,1.31,N
37.25195,30.44187,298.08,0.39,0.6,2026-01-16,00:37,N21,nominal,2.0NRT,274.23,1.05,N
40.50337,17.21798,298.3,0.4,0.37,2026-01-16,00:37,N21,nominal,2.0NRT,279.31,1.13,N
40.51878,17.20697,297.88,0.4,0.37,2026-01-16,00:37,N21,nominal,2.0NRT,278.63,0.79,N
37.14546,35.02487,303.08,0.69,0.74,2026-01-16,00:37,N21,nominal,2.0NRT,271.17,1.95,N
39.86356,26.24263,303.26,0.41,0.45,2026-01-16,00:37,N21,nominal,2.0NRT,276.48,2.06,N
40.69997,22.95099,295.12,0.44,0.38,2026-01-16,00:37,N21,nominal,2.0NRT,276.81,0.82,N
39.48216,30.04041,303.98,0.33,0.55,2026-01-16,00:37,N21,nominal,2.0NRT,273.47,1.03,N
39.48189,30.04048,304.69,0.33,0.55,2026-01-16,00:37,N21,nominal,2.0NRT,273.38,0.97,N
41.02115,28.55383,304.59,0.5,0.49,2026-01-16,00:37,N21,nominal,2.0NRT,279.09,2.05,N
42.71432,24.16864,313.48,0.45,0.39,2026-01-16,00:37,N21,nominal,2.0NRT,272.38,3.29,N
42.71327,24.17402,320.39,0.45,0.39,2026-01-16,00:37,N21,nominal,2.0NRT,272.48,2.76,N
50.79933,19.18628,299.86,0.44,0.38,2026-01-16,00:37,N21,nominal,2.0NRT,273.22,1.04,N
32.55331,3.16979,302.79,0.56,0.69,2026-01-16,00:39,N21,nominal,2.0NRT,274.5,2.14,N
31.58667,5.95098,314.63,0.37,0.58,2026-01-16,00:39,N21,nominal,2.0NRT,276.91,5.24,N
31.58639,5.95485,348.9,0.37,0.58,2026-01-16,00:39,N21,nominal,2.0NRT,279.02,5.24,N
31.59148,5.95926,312.26,0.37,0.58,2026-01-16,00:39,N21,nominal,2.0NRT,276.4,2.87,N
31.63258,5.98735,299.04,0.37,0.58,2026-01-16,00:39,N21,nominal,2.0NRT,277.32,0.74,N
31.63317,5.97949,349.6,0.37,0.58,2026-01-16,00:39,N21,nominal,2.0NRT,280.64,6.41,N
31.63652,5.98034,303.85,0.37,0.58,2026-01-16,00:39,N21,nominal,2.0NRT,277.44,1.28,N
31.66311,6.06162,316.52,0.37,0.58,2026-01-16,00:39,N21,nominal,2.0NRT,278.51,2.8,N
31.66338,6.05771,340.19,0.37,0.58,2026-01-16,00:39,N21,nominal,2.0NRT,280.83,7.01,N
31.66366,6.05382,350.62,0.37,0.58,2026-01-16,00:39,N21,nominal,2.0NRT,281.19,7.01,N
31.66394,6.04994,330.99,0.37,0.58,2026-01-16,00:39,N21,nominal,2.0NRT,279.89,5.04,N
31.68645,5.80843,296.3,0.38,0.59,2026-01-16,00:39,N21,nominal,2.0NRT,276.13,0.58,N
31.67489,6.04723,304.6,0.37,0.58,2026-01-16,00:39,N21,nominal,2.0NRT,278.64,0.76,N
31.69728,5.80947,367,0.38,0.59,2026-01-16,00:39,N21,high,2.0NRT,283.4,12.95,N
31.74833,5.22685,312.14,0.42,0.61,2026-01-16,00:39,N21,nominal,2.0NRT,276.82,1.18,N
31.69721,5.96227,367,0.37,0.58,2026-01-16,00:39,N21,high,2.0NRT,285.55,11.25,N
