latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
19.41085,-155.283,334.42,0.54,0.51,2026-01-12,00:07,N,nominal,2.0NRT,300.29,6.38,D
19.41024,-155.28841,337.48,0.54,0.51,2026-01-12,00:07,N,nominal,2.0NRT,304.05,6.38,D
19.40617,-155.2823,345.09,0.54,0.51,2026-01-12,00:07,N,nominal,2.0NRT,315.42,98.06,D
19.40557,-155.28757,367,0.54,0.51,2026-01-12,00:07,N,high,2.0NRT,371.69,98.06,D
19.40087,-155.28705,355.27,0.54,0.51,2026-01-12,00:07,N,nominal,2.0NRT,313.56,98.06,D
67.83997,80.21796,322.34,0.55,0.68,2026-01-12,00:32,N,nominal,2.0NRT,238.45,1.72,N
66.67094,80.44704,324.85,0.65,0.73,2026-01-12,00:32,N,nominal,2.0NRT,239.97,7.17,N
66.66531,80.45341,336.22,0.65,0.73,2026-01-12,00:32,N,nominal,2.0NRT,239.06,4.95,N
66.65964,80.45982,334.58,0.65,0.73,2026-01-12,00:32,N,nominal,2.0NRT,239.4,4.95,N
66.66708,80.46294,325.06,0.65,0.73,2026-01-12,00:32,N,nominal,2.0NRT,239.97,5.26,N
71.17035,72.23343,334.33,0.56,0.51,2026-01-12,00:32,N,nominal,2.0NRT,241.94,6.37,N
66.24709,76.81634,350.9,0.63,0.72,2026-01-12,00:32,N,nominal,2.0NRT,241.11,7.36,N
66.05344,76.99345,322.85,0.65,0.73,2026-01-12,00:32,N,nominal,2.0NRT,238.1,4.95,N
65.82639,76.86326,324.13,0.66,0.73,2026-01-12,00:32,N,nominal,2.0NRT,239.72,2.59,N
65.82617,76.8585,329.56,0.66,0.73,2026-01-12,00:32,N,nominal,2.0NRT,240.68,3.2,N
71.16935,66.99861,322.86,0.48,0.48,2026-01-12,00:32,N,nominal,2.0NRT,241.27,5.19,N
66.2006,70.98194,345.15,0.52,0.67,2026-01-12,00:32,N,nominal,2.0NRT,240.04,6.29,N
66.19655,70.98858,342.55,0.52,0.67,2026-01-12,00:32,N,nominal,2.0NRT,240.88,6.29,N
66.19781,70.99015,354.93,0.52,0.67,2026-01-12,00:32,N,nominal,2.0NRT,242.68,9.82,N
71.25674,72.06535,321.4,0.55,0.51,2026-01-12,00:32,N,nominal,2.0NRT,242.83,2.55,N
67.28387,83.0308,341.04,0.63,0.72,2026-01-12,00:32,N,nominal,2.0NRT,241.57,10.39,N
67.28246,83.02409,322.26,0.63,0.72,2026-01-12,00:32,N,nominal,2.0NRT,239.28,6.17,N
67.19527,81.98837,322.46,0.62,0.72,2026-01-12,00:32,N,nominal,2.0NRT,237.58,2.17,N
68.52634,79.95667,353.66,0.49,0.65,2026-01-12,00:32,N,nominal,2.0NRT,243.37,8.24,N
67.5518,83.2011,335.92,0.61,0.71,2026-01-12,00:32,N,nominal,2.0NRT,243.13,33.86,N
67.59587,83.24939,326.87,0.61,0.71,2026-01-12,00:32,N,nominal,2.0NRT,237.8,3.88,N
68.41223,83.62469,327.96,0.54,0.68,2026-01-12,00:32,N,nominal,2.0NRT,238.97,6.47,N
67.54652,83.20657,344.3,0.61,0.71,2026-01-12,00:32,N,nominal,2.0NRT,253.13,38.51,N
67.27306,83.21202,329.61,0.63,0.72,2026-01-12,00:32,N,nominal,2.0NRT,239.46,3.41,N
68.61555,57.96291,329.85,0.47,0.48,2026-01-12,00:34,N,nominal,2.0NRT,250.52,3.25,N
68.58535,58.04761,326.08,0.48,0.48,2026-01-12,00:34,N,nominal,2.0NRT,246.68,3.44,N
65.04251,56.66167,322.36,0.33,0.55,2026-01-12,00:34,N,nominal,2.0NRT,247.04,2.98,N
65.02542,56.72349,321.76,0.33,0.56,2026-01-12,00:34,N,nominal,2.0NRT,248.29,1.07,N
45.35353,30.9049,330.19,0.5,0.49,2026-01-12,00:39,N,nominal,2.0NRT,279.56,4.28,N
52.17221,14.62502,337.26,0.44,0.46,2026-01-12,00:39,N,nominal,2.0NRT,263.52,3.94,N
51.68834,15.98197,328.29,0.57,0.43,2026-01-12,00:39,N,nominal,2.0NRT,265.37,4.41,N
51.17663,16.11238,327.41,0.56,0.43,2026-01-12,00:39,N,nominal,2.0NRT,264.08,5.38,N
45.37343,30.92883,314.54,0.5,0.49,2026-01-12,00:39,N,nominal,2.0NRT,279.9,1.75,N
45.355,30.90567,330.38,0.5,0.49,2026-01-12,00:39,N,nominal,2.0NRT,279.46,2.34,N
45.35656,30.89955,298.44,0.5,0.49,2026-01-12,00:39,N,nominal,2.0NRT,278.75,2.46,N
40.88435,17.1708,322.33,0.41,0.37,2026-01-12,00:41,N,nominal,2.0NRT,272.93,1.65,N
40.88095,17.16999,295.75,0.41,0.37,2026-01-12,00:41,N,nominal,2.0NRT,272.07,1.65,N
40.87689,17.17404,313.22,0.41,0.37,2026-01-12,00:41,N,nominal,2.0NRT,272.49,2.57,N
40.50153,17.21605,298.86,0.41,0.37,2026-01-12,00:41,N,nominal,2.0NRT,277.39,0.89,N
44.86739,13.82732,295.09,0.39,0.44,2026-01-12,00:41,N,nominal,2.0NRT,279.26,1.07,N
45.46055,10.45641,324.15,0.57,0.52,2026-01-12,00:41,N,nominal,2.0NRT,272.21,3.64,N
45.45875,10.4571,318.82,0.57,0.52,2026-01-12,00:41,N,nominal,2.0NRT,270.41,3.05,N
44.8645,13.8258,313.44,0.39,0.44,2026-01-12,00:41,N,nominal,2.0NRT,275.98,1.43,N
40.50557,17.21209,296.23,0.41,0.37,2026-01-12,00:41,N,nominal,2.0NRT,276.33,0.89,N
44.93489,9.28406,308.01,0.32,0.55,2026-01-12,00:41,N,nominal,2.0NRT,267.48,0.88,N
42.71637,24.17166,326.82,0.45,0.39,2026-01-12,00:41,N,nominal,2.0NRT,267.17,4.45,N
41.50154,19.74279,298.43,0.38,0.36,2026-01-12,00:41,N,nominal,2.0NRT,271.86,0.81,N
40.89521,17.16837,317.71,0.41,0.37,2026-01-12,00:41,N,nominal,2.0NRT,271.96,1.28,N
30.66932,26.36907,299.08,0.33,0.55,2026-01-12,00:43,N,nominal,2.0NRT,277.93,0.68,N
30.76059,27.10414,297.5,0.36,0.58,2026-01-12,00:43,N,nominal,2.0NRT,277.61,0.92,N
30.77097,27.10756,306.33,0.36,0.58,2026-01-12,00:43,N,nominal,2.0NRT,278.14,1,N
30.7914,27.13888,329.57,0.37,0.58,2026-01-12,00:43,N,nominal,2.0NRT,278.95,2.18,N
30.78959,27.1365,304.94,0.37,0.58,2026-01-12,00:43,N,nominal,2.0NRT,277.41,0.81,N
30.79478,27.13821,315.85,0.37,0.58,2026-01-12,00:43,N,nominal,2.0NRT,278.53,1.2,N
29.59918,32.29446,310.77,0.76,0.77,2026-01-12,00:43,N,nominal,2.0NRT,280.42,1.99,N
34.4367,2.05601,297.63,0.66,0.73,2026-01-12,00:43,N,nominal,2.0NRT,273.71,1.3,N
29.59552,32.29081,296.23,0.76,0.77,2026-01-12,00:43,N,nominal,2.0NRT,279.25,1.54,N
29.69334,32.322,312.38,0.76,0.77,2026-01-12,00:43,N,nominal,2.0NRT,282.36,2.13,N
29.80606,32.08941,308.97,0.73,0.76,2026-01-12,00:43,N,nominal,2.0NRT,282.33,2.23,N
